date,open,high,low,close,volume,ticker,ma5,ma20,ma60,macd,macd_signal,macd_hist,rsi14,bb_width,bb_pct,atr14,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,ret_lag20,vol_ratio,pct_from_52w_high,stock_id,static_cap,sbv_rate,cal_day_of_week,cal_month,cal_day_of_month,cal_is_month_end,cal_is_qtr_end,cal_is_tet,cal_is_tet_pre,cal_rate_month,VNINDEX_close,usd_vnd,gold_vnd_per_gram,cross_HDB_lag1,cross_HDB_lag2,cross_TCB_lag1,cross_TCB_lag2,cross_TPB_lag1,cross_TPB_lag2,split
3/27/2019,6173,6214,6112,6173,10856256,HDB,6221.8271,6271.6587,6135.6026,23.6404,52.6425,-29.0021,45.2055,0.0743,0.2884,133.6591,0.0016,0.0016,-0.0212,-0.0451,-0.0212,-0.0082,1.5816,-0.0486,0,1,6.5,2,3,27,0,0,0,0,1,980,23198,976966,6162.8428,6162.8428,11671.2119,11716.9814,6482.708,6482.708,train
3/28/2019,6143,6244,6102,6132,8722962,HDB,6187.2502,6273.1842,6135.5453,10.9323,44.3005,-33.3682,46.4789,0.0729,0.1922,133.6591,-0.0066,-0.005,-0.005,-0.0278,-0.0246,0.005,1.2535,-0.0549,0,1,6.5,3,3,28,0,0,0,0,1,980,23198,961975,6173.0127,6162.8428,11785.6348,11671.2119,6513.7261,6482.708,train
3/29/2019,6102,6143,6051,6102,6358402,HDB,6146.5714,6269.1163,6134.9639,-1.5826,35.1239,-36.7065,44.5946,0.076,0.1489,134.3855,-0.005,-0.0116,-0.01,-0.0328,-0.0583,-0.0132,0.9013,-0.0596,0,1,6.5,4,3,29,0,0,0,0,1,980,23198,964361,6132.334,6173.0127,11694.0957,11785.6348,6575.7612,6513.7261,train
4/1/2019,6102,6112,6000,6010,5062848,HDB,6116.0623,6260.4721,6132.8509,-18.671,24.3649,-43.0359,31.5069,0.0839,0.0238,132.2062,-0.0151,-0.0201,-0.0267,-0.0251,-0.0734,-0.0284,0.7174,-0.0737,0,1,6.5,0,4,1,0,0,0,0,0,990,23198,960931,6101.8247,6132.334,11716.9814,11694.0957,6591.2705,6575.7612,train
4/2/2019,6020,6041,5797,5858,7007612,HDB,6055.0441,6241.1496,6128.2659,-44.0154,10.6888,-54.7042,24.4186,0.1021,-0.1017,144.5552,-0.0257,-0.0408,-0.0458,-0.0508,-0.1022,-0.0639,0.986,-0.0972,0,1,6.5,1,4,2,0,0,0,0,0,990,23198,962124,6010.2974,6101.8247,11694.0957,11716.9814,7010.0103,6591.2705,train
4/3/2019,5797,5807,5726,5746,12182221,HDB,5969.6186,6216.2338,6128.4354,-72.2944,-5.9078,-66.3866,22.1053,0.1248,-0.1061,148.9136,-0.0193,-0.045,-0.0601,-0.0717,-0.1168,-0.0832,1.6355,-0.1144,0,1,6.5,2,4,3,0,0,0,0,0,980,23198,962049,5857.752,6010.2974,11671.2119,11694.0957,6901.4478,7010.0103,train
4/4/2019,5797,5949,5797,5939,8554221,HDB,5930.9737,6200.9793,6131.9948,-78.2125,-20.3688,-57.8438,22.9167,0.1312,0.1782,147.4608,0.0331,0.0138,-0.0119,-0.032,-0.0598,-0.0501,1.1402,-0.0846,0,1,6.5,3,4,4,0,0,0,0,0,990,23198,961378,5745.8848,5857.752,11648.3271,11671.2119,7010.0103,6901.4478,train
4/5/2019,5919,5949,5878,5949,6298143,HDB,5900.4646,6189.2841,6132.8423,-81.1467,-32.5243,-48.6223,23.7113,0.1364,0.2158,143.1024,0.0017,0.0348,0.0155,-0.0253,-0.0581,-0.0386,0.8356,-0.0831,0,1,6.5,4,4,5,0,0,0,0,0,990,23198,962422,5939.1099,5745.8848,11648.3271,11648.3271,7056.5366,7010.0103,train
4/8/2019,5919,5929,5848,5878,5841298,HDB,5874.0232,6174.0296,6132.8423,-88.1996,-43.6594,-44.5402,20.5882,0.144,0.1672,142.376,-0.012,-0.0103,0.0227,-0.0222,-0.0473,-0.0506,0.7601,-0.094,0,1,6.5,0,4,8,0,0,0,0,0,1000,23198,967419,5949.2788,5939.1099,11625.4424,11648.3271,7041.0273,7056.5366,train
4/9/2019,5878,5949,5787,5848,10522701,HDB,5871.9893,6152.1647,6133.6898,-95.154,-53.9583,-41.1957,20.5882,0.1509,0.1719,140.9232,-0.0052,-0.0172,-0.0155,-0.0017,-0.0525,-0.0721,1.3381,-0.0987,0,1,6.5,1,4,9,0,0,0,0,0,990,23198,972193,5878.0908,5949.2788,11556.7881,11625.4424,7072.0454,7041.0273,train
